n_params,n_params_non_embed,n_tokens,flops,val_loss
1238144,197760,5000000,5932800000000,8.155999851226806
1238144,197760,20000000,23731200000000,5.642949075698852
1238144,197760,80000000,94924800000000,4.210987405776978
2869504,788736,5000000,23662080000000,7.294114751815796
2869504,788736,20000000,94648320000000,5.2990583896636965
2869504,788736,80000000,378593280000000,3.817860541343689
8886784,4725248,5000000,141757440000000,6.6532181453704835
8886784,4725248,20000000,567029760000000,4.797544212341308
8886784,4725248,80000000,2268119040000000,3.2071371698379516
33506304,25183232,5000000,755496960000000,6.0606096076965335
33506304,25183232,20000000,3021987840000000,4.496887187957764
33506304,25183232,80000000,12087951360000000,2.7898792219161987
